,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,1.0,"BB-8, you're no R2-D2!",Amazon is about the only place I've seen candid accurate reviews of this BB-8. For the price this is a poor product designed in a short timeframe and rushed to market.  The only function that really works well is &#34;Drive&#34;.  Other features like &#34;Patrol&#34; I would expect BB-8 to learn where objects are when it hits them. But it doesn't it just keeps running into them time after time. Some of the voice commands like go explore or look around hardly do anything. The R2-D2 interactive Astromech droid I've had for 10 years which has infrared and sound sensors is much more intelligent than this droid.  Online there is a BB-8 Users Manual but it offers no detail for any of the functions. Maybe with future firmware and app software updates this can be made to be a good product but at this point I'm going to return it while I still can. Perhaps I will have A New Hope when there is another thats more capable than this initial release version.,[],B0107H5FJ6,B0107H5FJ6,AEDHXXX2F66EMWOSSPCQHS62UKNQ,1442264974000,58,False
1,5.0,Liked it,Liked it,[],B0107H5FJ6,B0107H5FJ6,AEASTKSRTMBQSHCDJ63LJLVA67HQ,1598814602195,0,True
2,5.0,We love it and let it roam our room,"So cute! Purchased for my husband Christmas present. We love it and let it roam our room. I think it'd be nicer if the sounds came from the BB8 and not the app, but we still love it. The Holograms were cooler then expected.",[],B0107H5FJ6,B0107H5FJ6,AFD4ULIF32CDUKVPEDZQXZZRBI2A,1451973081000,0,True
3,5.0,Fun little toy,It came today and my husband was like a child running towards  the fedex guy lol. He unpacked it and started playing with it. I had to pry him away from this little guy. Definitely recommend if you want to keep your husbands and kids busy lol. It is well made and fun. Quick and easy app install on the phone and quick charge.,[],B0107H5FJ6,B0107H5FJ6,AHKULNJ7UQDGZ6Q2GLJHZTEEDW4Q,1451588357000,1,True
4,5.0,It works great. He controls it through his ipad,This came so quickly and my son ( 10) loves it! It works great.  He controls it through his ipad.,[],B0107H5FJ6,B0107H5FJ6,AFNDNE7FSXTWWDRPWTJGDQKT3V6Q,1467905694000,0,True
5,5.0,SPEROI,GRANDSON LOVES IT~,[],B0107H5FJ6,B0107H5FJ6,AF4GMLDCUZSG62IB5S77SFDPPTEA,1461481738000,1,True
6,5.0,Fun and cute!,Fun to play and BB-8 is the cutest design robot,[],B0107H5FJ6,B0107H5FJ6,AFCD6UBVDWL46D36KWHSUM5X7VRA,1476764782000,0,True
7,3.0,Be aware of what it really does,"Not sure why people are giving a product that did not deliver on its promises 5 stars, but it is not a 5 star product, especially not for the price.<br />I won't waste too much time repeating what some of the top reviews said, but main point is do not listen to the product video, it can't really do any of that stuff. It is a very misleading video. It does not learn your room, it just randomly bumps into things and goes in another direction to come back and bump into the same stuff again.<br />I like some things about it, but I would have like to make the decision to buy this based on actual functions of the device, not misled and flat out lied to by the company to buy this on false pretenses.",[],B0107H5FJ6,B0107H5FJ6,AGAG3LZ5TT425GXTSNBWIMCFHD5A,1514239928429,88,True
8,5.0,Not your typical remote control toy,"Probably the best remote control toy I've ever seen in my life and I've owned my share as have my sons. You can't help but love BB8 in Star Wars. It may not be human, but it had manners to make you smile. This one does the same thing. And because it uses an app for the remote control piece, it does so much more. It can show you a hologram that you view through the app. You can give it voice commands or use the app to move it around. Don't think my son will get tired of this one quickly.",[],B0107H5FJ6,B0107H5FJ6,AEYDAUNP5SZA66GWHEFMSRUPJJZA,1461951396000,1,True
9,5.0,He loved it. Actually his dogs loved it more,It was a gift for our son. He loved it. Actually his dogs loved it more :),[],B0107H5FJ6,B0107H5FJ6,AGGNWU5NPYBCWVV3PRTI2TPPK6CA,1463689069000,0,True
