,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,5.0,Follow directions and you will love it!,"Well as a TOTAL NEWBIE to this whole drone thing I have to admit I was a bit intimidated at first.  Read all the reviews on a MULTITUDE of drones and decided on the F11.  Was scared to death my little black beauty was going to fly away......still have it and have had several successful days.  Love the tips that I was sent for flying tips which explained why I lost control a couple times (stay away from trees that can block satellite connect, duh) and crashed (LOL) all turned out okay despite a scratch or two as expected in this learning phase.  However, it has peaked my dog's interest who thinks this mechanical black bird looks like it could be a lot of fun to chase!  Highly recommend the F11 as it is sturdy for the money apparently and a great learning drone with what seems to have a decent camera & video capabilities.  I have yet to totally master those skills.....ha, ha!",[],B07VCD1SRL,B07VCD1SRL,AEBOZUPXR2IOM5JJOVZA6EMTM3IA,1587482405971,0,True
1,3.0,Only recently received ok,"You'll notice that just about all the great reviews were posted recently.  Of course it works great a it's new.  Always wait a few months to see how many of these people are satisfied now.  For any product you consider buying, make sure it has a honest history of being decent.",[],B07VCD1SRL,B07VCD1SRL,AFO7RWACXRPNINN7C7HG5CCGVMCQ,1578415595680,0,False
2,5.0,BEYOND AMAZING AWESOME DRONE,"I love this drone I can't say any more than that really it is beyond fun the pilot. The controls are easy and simple. I love the feature of take-off and home and I love how it can track me when I move. I have fondly named it Skeeter.  My whole family enjoys just watching me fly.  I guess I did something wrong you are looking for a wonderful great drone I would definitely recommend this. Easy to assemble, easy controls, great view camera I mean amazing view. The features of this drone, the take off ability and the home landing  feature and even its ability to track you when you move. Top-notch drone, I would definitely recommend. Great price for a great drone.",[],B07VCD1SRL,B07VCD1SRL,AHT2EWAY4FJZWYPYNKSKHID2G3RQ,1615303875936,0,True
3,1.0,Drone useless-remote battery dead,"I bought this as a gift.  It was used only a few times over the last few months.  The battery for the remote will no longer hold a charge, rendering this a $300 piece of plastic trash.  How sad.",[],B07VCD1SRL,B07VCD1SRL,AEAFAOP5D4R66KYLM6W7WZJCSQ3A,1638475771976,1,False
4,1.0,Misleading,"Great advertising.  Wonderful reviews.  Great packaging.  Once it arrived I opened it, set it up, configured the drone.  Anytime I need to connect Wi-Fi to something is when the issues begins.  App wouldn’t connect.  Drone and controller were paired.  I was able to configure the gyroscope and calibrate.  I took it outside and all I wanted to do was a simple up and down motion and the drone went crazy all over my backyard.  Back in the box and a return label was printed.  It’s not as simple as people here claim it to be.  It doesn’t pair well with the app.  Beautiful device, but for 300.00 I can’t risk replacing something if it lands upside somewhere and can’t fly back.<br /><br />Update-  8/3/2022  I’ve been flying drones for years so I know what I’m doing.  Purchased this again and gave it another try.  First day it was perfect.  Second day there is lots of miscommunication, drone is spinning out of control and I’m in beginner mode to get used to this new product.  Both are going back.",[],B07VCD1SRL,B07VCD1SRL,AFWSDZBFRHSSFHRIHE6LAJWCPNJA,1659232207014,7,True
5,5.0,Hubby's happy,My husband loves it.,[],B07VCD1SRL,B07VCD1SRL,AHNXG7GK76265HDIZXWLWTZYRC4A,1603838588717,0,True
6,5.0,So far so good,"The preparation is a little more involved than I thought (this is my first drone), good thing the app does have a quick start screen with the steps so I don't have to carry the user's guide all the time.<br />The battery life is quite good, compared to other drones (I had shopped around to compare before purchasing the F11 Pro).  The only problem I encountered was it doesn't know to avoid obstacles, so make sure you don't fly it too close to anything while not familiar with the remote control.<br />I've tested all the functionality, and they are all there, just make sure you stay in the Beginner mode until you're confortable enough with control the drone.<br />Charging the drone and the remote control is easy, as they both use the same charger (USB).",[],B07VCD1SRL,B07VCD1SRL,AESSTMEMLNY6EZYHFBGRB3EXPH5A,1608998501671,0,True
7,5.0,Easy To Learn,"Takes a little practice, but if you go easy on the controls you get used to it pretty quickly. I got the hang of it as a complete drone newbie after about 15 minutes. It takes several hours to charge the battery and it's only 28-30 minutes - the only real downside. The camera is very good, but the angle controls are a little clumsy so it can take a little bit to get the camera shot just right. I got this to do home inspections and am pretty happy with it as a good starter drone.",[],B07VCD1SRL,B07VCD1SRL,AGU37CFFNKYLZ2MDLWASVPXUFU3A,1620777535630,1,True
8,5.0,Great drone. Easy setup. Fun.,"I just followed the clear instructions for the Quickstart, with no problem. Drone comes with a very detailed manual. Along access to YouTube instructional videos. I did a limited test flight. It was flawless. Looking forward to a nice Long TestFlight of all the other functions.",[],B07VCD1SRL,B07VCD1SRL,AGP4ZHM62OHHDGH2RNFVDLNVORDA,1663084077506,0,True
9,5.0,A+ Experience!,Great Drone & Great Customer Service!!! I would recommend this product and company to any & everybody… Thanks!!!!! A+,[],B07VCD1SRL,B07VCD1SRL,AH77IVKBUAINC56OILJNUWDMBUBA,1627046954627,0,True
10,5.0,Great customer service,Had an issue with the product and customer service reached out to me and made it right.<br />Thank you.,[],B07VCD1SRL,B07VCD1SRL,AHJXS2CPXBDV3YT6SUEP7ZWKYYQQ,1620218890813,0,True
11,5.0,"This is not a toy, has a handful of neat features.","I began flying drones with a fully manual controller. This drone is far different, video monitoring by way of your WIFI connected cell phone, station holding, GPS tracking, altitude hold. Fun to fly, reasonable cost for what you get... I love it.",[],B07VCD1SRL,B07VCD1SRL,AFUHGEZANJNRXGJ36PPR3JS5SFNA,1668530093349,0,True
12,5.0,Love flying this thing!,"This drone is really fun to fly! Also, the 4K camera takes amazing pictures and videos. Watch all the instructional videos, you'll be glad you did. Take your time in beginner mode because it is not simple, it's really a complex and cool piece of machinery.  Also, make sure you have GPS mode turned on so you can use the auto return feature if it gets away from you. Have fun!",[],B07VCD1SRL,B07VCD1SRL,AGQ55OC3ZB4QWVIRHPSOTS5MO7FQ,1632165649040,0,True
13,5.0,Great for beginners. Got a very very happy guy on my hands,Got 1 Very happy BIG KID on my hands. Love that it comes with a carrying case. Easy to learn for beginners.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/9113sNSFbKL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/9113sNSFbKL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/9113sNSFbKL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07VCD1SRL,B07VCD1SRL,AG43JHBLHPRHH4RT5T6GLXC3EEXA,1608745859057,0,True
14,5.0,New to the hobbies. This will be perfect for you.,Great drone for getting those impossible shoots. Lots of fun too.,[],B07VCD1SRL,B07VCD1SRL,AELVCLQZ5KRKBPUNTH6RFYROESXQ,1592453192577,0,True
