,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,5.0,Fine Drone for the Money,"It easy to charge, store, take off, fly, land, and take photos. I wish the camera made photos that could be enlarged.",[],B07V3CLLCV,B07V3CLLCV,AHVIAYQJSXWBKL52CU4K4XI5RMZQ,1578169109122,0,True
1,5.0,My husband loves it!,Would not calibrate.  So disappointing as it was my a birthday gift for my husband.<br />Revision :  Works GREAT!  Very very powerful batteries.  Performance is excellent.  Don't hesitate to get this one it is a great little drone for the money.  Excellent purchade.,[],B07V3CLLCV,B07V3CLLCV,AGW4YXOTG3GO57FSAVTSNMXC5UJQ,1623717416608,0,True
2,5.0,"My Foldable Vaca Drone ""HS 720""","[[VIDEOID:61f52fe954b9387d0799a4276217dbef]] Great Beginner or Experienced Drone operators with camera and video that pivots downward a full 90 degrees give the pilot great views and options, one fault is it's not on a gimbal but at this price point it can be expected.  Super quiet brushless motors, 1 battery and usb charger,  nice controller. Comes with decent quality carrying case that stores everything perfectly,  along with a zippered compartment area, where you can keep the manuals and spare props, yes you get a set free with the drone!<br /><br />Flies well in the wind I put it up in winds that were around 15-18 mph and it handled them well, of course  the advertised  battery  life suffered and was only about 17 minutes but it was fighting the wind the whole time. On a less windy day it was almost 24 minutes of total flight time!<br /><br />If your looking for a drone to learn on at a decent  price point this is a good one and it's the right size, this is my 3rd Holy stone drone and I'm pleased with the product, I own the 700d, 270, and now this bad boy.  All the features like follow me and point of interest  work as expected  I have yet too use way points on any of my birds, but the WiFi connection  and FPV work well too.<br /><br />I bought this one too go on Vacation with us in April to florida, mostly because  of its footprint and portability, it is a little smaller than the 270.<br /><br />Eventually I will be spending a ton on a DJI Mavic pro as I want to have a drone with autonomous flight and obstacle avoidance, but these drones have  definitely  exceeded  my expectations and well worth the $$$ spent  and are a great addition  too my 7 other flying machines I have!  So I highly recommend  this unit!","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/613W7zARAZL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/613W7zARAZL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/613W7zARAZL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61KdKFN8+uL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61KdKFN8+uL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61KdKFN8+uL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719mdW6ZEJL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719mdW6ZEJL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/719mdW6ZEJL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71a-YMkLgUL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71a-YMkLgUL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71a-YMkLgUL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71a-YMkLgUL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71a-YMkLgUL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71a-YMkLgUL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71d2gKLWMVL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71d2gKLWMVL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71d2gKLWMVL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ucJAcSn5L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ucJAcSn5L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ucJAcSn5L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91K3nq4Z40L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91K3nq4Z40L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91K3nq4Z40L.jpg', 'attachment_type': 'IMAGE'}]",B07V3CLLCV,B07V3CLLCV,AFFMDKZR6FTFVMUPNCKNRUKSOJSA,1572103013210,0,False
3,4.0,Great unit,They make a quality unit. Has a lot of features for the price and they are very customer responsive!,[],B07V3CLLCV,B07V3CLLCV,AH6BYWMF6MTDCEZTEDMQ2JMF35GA,1645297488745,0,True
4,5.0,GREAT Customer service!,"As others have stated, this is an easy drone to learn on. I had a problem with the Tap Fly function. It would not go any further than the second Tap Point. The Holy Stone customer service responded to my query almost immediately when I asked for help. After trying various remedies to the problem they put out a new S/W App that fixed the problem I was having. All of this happened very quickly! Now I am flying and using all the features of the drone. It is a really fun drone to fly, especially for the price point! I would recommend Holy Stone products to anyone wanting to start having fun with a drone!",[],B07V3CLLCV,B07V3CLLCV,AGTWGPPR54OKYJW4O4OVUNIIDUEA,1605974549989,0,True
5,4.0,Cheap battery charger,"Drone has a pretty good distance, the live view streaming distance is much less than control distance. I live in a country town and the video feed cuts out about 150 meters with an altitude of about 70 meters. My biggest compliant is the cheap battery charger. Because of the battery charger I’m considering to return this drone.",[],B07V3CLLCV,B07V3CLLCV,AED3SWZIURARRZE5QZJBC4O2UN5Q,1586445189589,1,True
6,5.0,What a great drone!,"I had written to Holy Stone prior to buying the HS 720 just to get more information and they were extremely helpful. My HS 720 4K drone arrived and it was almost too much to have to wait to charge the battery. I had watched a number of YouTube video reviews on this drone so when I read the manuals it was a breeze. I have an aviation background but have never flown a drone before. This Holy Stone was made for beginners but has the feel of more than a toy. On my first flight I had very few problems and the ones I did have were operator error, not the HS 720. The good news is that while learning, if you go through all the preflight procedures, and you get worried about your drone just let go of the controls and it stops, hovers and waits for you. I even flew it out of range and lost the signal and got really worried until I saw it coming back to me and then I took over once more. The Return To Home feature is worth is weight in gold. The camera was clear and photos were nice. I would highly recommend this HS 720 to anyone and especially a beginner, but it is capable of doing most everything you need.",[],B07V3CLLCV,B07V3CLLCV,AEYXBJA6E5FCFJT4CEVNEAR627OA,1593527486367,0,True
7,4.0,Great drone for price,Just got this drone a few days ago and so far it seems like a great drone at a great price. It has a lot of features that I did not expect at this price which is a nice surprise. Happy with this purchase so far and will update the review after further use.,[],B07V3CLLCV,B07V3CLLCV,AHHWJBJQI3PRAK7Z5G3HPD7L2JAA,1609410309454,0,True
8,5.0,awesome in every way...,A wonderful product and company.,[],B07V3CLLCV,B07V3CLLCV,AHECV6LWUWQ2BUJVHOD5RBM2HOMQ,1629445184091,0,True
9,4.0,"Fun, but sometimes it has a mind of its own",We are first time drone users. We are learning but had a couple issues early in that the drone would go off on its own. Holy Stone helped us when we had an issue. Now getting the hang of flying this. Had great fun today.,[],B07V3CLLCV,B07V3CLLCV,AGXIXQ26D6BKZKUY3OR3KNM7MZ6Q,1643591474769,0,True
10,5.0,"High quality, with long lasting battery","I've had the drone for a couple weeks now.  It takes a bit to get use to, but is extremely fun.  The camera quality is good without the memory card, but very good with the card (make sure to get the recommended memory card).  Learning to fly is much easier in a wide open field.  Once you get the hang of it you can start using in more constrained spaces.  Don't let the battery get to low, especially around trees or objects as the return home feature will kick in and may cause unexpected movement.",[],B07V3CLLCV,B07V3CLLCV,AHODQP4HRXVELGWVIQ56ROZZGNIQ,1582127173630,0,True
11,5.0,I'm impressed!!!,"I have some friends who are really into droning and they were recommending that I buy used or refurbished for twice the price I paid for the HS720. I told them how much I was going to pay and showed them that the specs of this drone matched much higher priced drones on the market. They laughed at me and said go ahead, you'll see when you try to fly it. I did fly it and I'm the one laughing now. Absolute blast! great buy.",[],B07V3CLLCV,B07V3CLLCV,AGK26YKADJ2PSR3ICEKHCC3MWMRQ,1571241220969,0,True
12,5.0,No idea how it works - I sent it to the brave fellas defending Ukraine,"This was our token of help for the brave soldiers defending Ukraine from the Russian animals.<br /><br />Hope it can help them at least a little bit.<br /><br />If you think it makes sense, buy some, find someone who sends them help and join the effort!",[],B07V3CLLCV,B07V3CLLCV,AFHA2O7VER3XUWTZ57JBOCQZB4LQ,1650742150655,0,True
13,1.0,Control doesn’t alway control.,When drone goes into low power mode it will automatically return and land. Mine did just that but my battery was low.<br /><br />Drone went into landing mode then took off again (sideways) slamming into my cars door. This caused a dent and scratches on driver side door. Drone fell underneath car and tried taking off again. Drone wouldn’t react to control. Drone self destructed slamming back and forth underneath car and floor.<br /><br />Scratches and dent on car door plus price of drone…. Would’ve been better off buying a higher quality drone.,[],B07V3CLLCV,B07V3CLLCV,AHKKTF522T7HMGBPJN7B4DAP5QXQ,1659309889386,0,True
14,5.0,Good value for the price,"I like the gps tracking and overall performance for the price. I wish it had collission avoidance. My main problem was learning how to calibrate the gps. Overall I'm impressed, however, now that I've learned to use it.",[],B07V3CLLCV,B07V3CLLCV,AHYXPH2PZZELOQB7T4CUIG5DKNXQ,1587388248579,0,True
15,5.0,Holy Stone Drone,"I have had several drones before this one from other companies, and I would have to say that without a doubt the Holy Stone is by far the Best Buy for the money. The customer service is also excellent. When contacting other companies I could never get a good solid answer or any help. Holy stone is quick to answer the phone and have been invaluable with every issue I’ve raised with them. I can’t say enough good things about this drone and this company.",[],B07V3CLLCV,B07V3CLLCV,AGDKXBUN3YBX5FHZRS7GZKWW6H2Q,1626804140818,0,False
16,4.0,Great Customer Support,"The first Drone delivered had a problem responding to the remote control right joy-stick.  But customer support quickly sent a replacement. Although this Drone is fairly simple to fly, I would not label it good for beginners. I've been flying mini Drones for years and in my opinion, this Drone does require some solid experience before you attempt to fly it. The reason I say this is because there is no room for error if you crash. The Drone is made of plastic and will break.",[],B07V3CLLCV,B07V3CLLCV,AGVYA5BXTSBOLJWBVVZ4KUKTQDAQ,1648241299147,0,True
