,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,5.0,Great for blowing leaves off a roof,"I bought this quadcopter for mostly one reason: to blow leaves off our roof. I'm not as sure-footed as I used to be, and rigging safety ropes takes a lot of time. I saw a few videos of people blowing leaves with drones, so I thought I'd get one and try it out.<br /><br />I didn't shop for features like stabilized gimbal camera or such. I just looked for the biggest most economical quadcopter with a decent reviewer rating. (Bigger is better for leaf blowing, I reasoned.) This is the one I chose, and it worked out great for my purpose.<br /><br />No it's not nearly as effective as climbing up on the roof with a leaf blower. But it did get almost all of the leaves off, with the exception of a couple of small spots. I might just wait for those to dry out and try again later.<br /><br />I made a few training flights in our backyard before actually attempting to blow the leaves. I suggest starting blowing the leaves nearest the eave first then working up the roof. That way you don't wind up with a big mountain of leaves on the edge of the roof. It's slow going. Each flight was limited by the quadcopter's battery life and only lasted about 15 minutes, and it took 4 or 5 flights to get them all. I eventually bought another battery, but I had managed to get all the leaves blown off before it arrived.<br /><br />I suggest putting the propeller guards on the quadcopter for leaf blowing. It seems there's something about the way the air flows around the quadcopter when it's near a wall that makes it tend to drift toward the wall. I crunched it a couple of times but with only minor damage. It's nice the manufacturer includes a few replacement props and guards, though I didn't need them. You might want to take those guards off flying around tall trees, because they'd easily hang on a branch.<br /><br />I didn't use the onboard camera through a device while blowing leaves. I just watched the quadcopter directly. And I kept it oriented with the front facing away from me while flying so direction control was intuitive.<br /><br />So anyway, it worked as a roof leaf blower.",[],B074YYVXQH,B0C3QB6KZB,AE4QO4BZ4S4DD3A2EXHUCIECTYWA,1579625166880,0,True
1,5.0,Ease for anyone to learn,This drone works great and is easy for beginners.  My 14 year old learned to maneuver the drone easily right out of the box.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81WYqKmSstL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81WYqKmSstL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81WYqKmSstL.jpg', 'attachment_type': 'IMAGE'}]",B074YYVXQH,B0C3QB6KZB,AE3R2MI4OQ55KI6NQR74JCKTP6TA,1563126718003,0,True
2,5.0,Great!,My son loves this drone! It is easy to control and takes great pictures! Very happy with this purchase!,[],B074YYVXQH,B0C3QB6KZB,AHQ33OIPNH2LFI7A3EAHSTXQHERQ,1546086438662,0,False
3,5.0,A Holy Stone Masterpiece!,"[[VIDEOID:3c39acadb44f7af0c1ae7316aabdb717]] A Holy Stone Masterpiece! I was excited to receive this bird as I own multiple drones from Holy Stone. The new HS100 is the best one yet. It is their first GPS drone and it does not dissappoint. From the premium packaging, the easy and minimal assembly and clear instructions, I had her in the air as soon as the batteries were charged. The main battery is very similar in design to the Phantom battery. It is very high quality with a USB charging plug. I wish there were two batteries included, however a coupon was included inside for a free extra battery. Get this as it will double the fun. This is the first controller I have with also a USB rechargeable battery battery. The downloadable app installed on my iPhone with no issues and quickly and easily connected to the drone. No issues at all. After the batteries were fully charged, I took them to the park and an was in the air in less than two minutes. The GPS found the satellites quickly and the calibrations were very easy. I started off in the default beginner mode which kept her close enough to let me figure out the flight controllers. Within two minutes I switched off the beginner mode and the fun started. The camera and video are OK at 720 though there are better 1080 camera drones out there in this price range if that is what you are looking for. The flight times are very good with the supplied battery as I got around 12 minutes of flight time. As an overall package, this is a very high quality, solid built, stable and beautiful looking drone that is easy and fun to fly. Highly recommended for both the beginner and advanced pilot.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91M8BeCfPvL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91M8BeCfPvL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91M8BeCfPvL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91ytOlkXt5L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91ytOlkXt5L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91ytOlkXt5L.jpg', 'attachment_type': 'IMAGE'}]",B074YYVXQH,B0C3QB6KZB,AEVLNG7Y3AL5L64VNWUXREBUR5VQ,1511132550352,33,True
4,5.0,Excellent customer service,Very nice drone. Love the RTH feature which bring the drone right back to where it took off.  Love the single button take off and land.  Comes with extra spare parts if need.,[],B074YYVXQH,B0C3QB6KZB,AFTC7SJVRTOZKDANWCV2PHDOELHA,1520099415441,0,True
5,5.0,Fantastic drone,"I loved learning with this drone.  I did a review previously with a little video I guess amazon lost it.  This is very easy to use, the camera is ok.  The drone is pretty tough...it took some knocks but it just kept at it.  I am a believer of Holy Stone for value, quality and the customer service is by far better than most companies!",[],B074YYVXQH,B0C3QB6KZB,AFUKDUOSQK4AK4G7GT5QIWBQVJ4Q,1560568460688,3,True
6,5.0,Holy Stone HS100 Drone,"We won this drone at a golf tournament and my husband and I were extremely excited to try it out. Even though we are new to drones, we followed the instructions and made our 1st flight yesterday. It was awesome!  There are a lot of cool features - Return to home, following you, GPS, seeing the clear images on your smartphone, among many others.",[],B074YYVXQH,B0C3QB6KZB,AF5U2H2KDTELN5N55HANR2VSBXPQ,1539107103445,0,False
7,2.0,Garbage with poor support,"I received this drone as a gift in December 2021.  The first few attempts were chaotic, but after multiple tries I was able to connect to the drone, calibrate, and fly around my home.  I used the drone about 10 more times between then and now, June 2022.<br /><br />After resetting the drone and recalibrating, replacing the software, rebooting my phone, and looking high and low for support, I own a poorly stabilized quadcopter that cannot sustain a signal to the app.  The app crashes after being connected to the drone for more than 5 seconds.  Tech support is no help, either written or phone, and there is no reasonable warranty to speak of.<br /><br />Trust me - move along.  There are better options out there.",[],B074YYVXQH,B0C3QB6KZB,AFPFD74JFPITCLJ7TFYS46TJG2RQ,1656168968596,1,False
8,5.0,Recommend / Awesome Drone.,Great drone for beginners and more experienced operators. The only thing is I'm having trouble syncing up with my internet to change initial settings. It handles great and easy to fly. Holds altitude perfectly making videos much better.,[],B074YYVXQH,B0C3QB6KZB,AGXH2X6ZN5B77HZ3TBWY5SLQAKJQ,1555430754749,0,True
9,5.0,Great drone with lots of features for the price,"I purchased this for my husband as a Christmas gift.  I knew he always wanted a drone but would never shell out the money for one.  I wanted a drone that was easy to fly with a good camera and that wouldn't get lost.  This unit achieved my needs and then some.  The drone flies almost by itself, takes excellent pictures, and returns home at the press of a button.  And this thing can go high!!! My husband loves it.  The only recommendation I have is to make sure you purchase extra batteries as the unit comes with only one and takes hours to charge.  Other than that no complaints.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51h7SGqJPTL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51h7SGqJPTL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51h7SGqJPTL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B074YYVXQH,B0C3QB6KZB,AHWEBTWMV5UNJ3YQM3ZNOWZPIEPA,1547636678448,1,True
10,1.0,One Star,Couldn't put the blades on. Very diffacult to  assemble. Sent it back,[],B074YYVXQH,B0C3QB6KZB,AHWMGIU7GFGCPM5Y35UQKIJAHWHA,1523378745116,3,True
11,4.0,Good begginer drone.,"I have flown this drone in rough terrain and poor GPS signal and<br />my low skills. Needless to say has had some hard landings even on pavement without any apparent damage. The video is sharp clear. All and all is a very good buy for a beginner.<br />The con is: The app is horrible; allows very little interaction, the video gallery list is dark, very hard to see; it will take sometime to find your way with the lack of guidance on the app and the very confusing and skimpy instruction manual badly translated into English.<br />IF you have patience and are willing to bump your head around a little while this is the begginer drone for you.<br />Good harware; awful instructions and unfriendly app.",[],B074YYVXQH,B0C3QB6KZB,AFZQZ5LLNBFIRCJXBLI2Q4TE66KA,1550679988938,1,True
12,4.0,Beginner friendly,Easy for beginners to learn on.,[],B074YYVXQH,B0C3QB6KZB,AG5UW6T5V3N6VWPYKHNWR2ETVO2Q,1584851458781,7,True
13,1.0,Just another Chinese rebrand piece of junk,"As you can see from the photos, Mine is branded as a Promark. These are Chinese garbage. Mine came from Walmart 3 years ago for $170. It flew twice. After that it refused to connect to the control unit and refused to charge. In the two flights I took, it did not crash and only flew for about 5 minutes before signalling low power. Save your money and spend it on a better drone. Do some research by doing an internet search by image and you'll find this particular unit for sale under several brands. The same can be said for any of the drones sold by Holy Stone.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/6162hZ1YqKL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/6162hZ1YqKL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/6162hZ1YqKL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61xaNJg2EXL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61xaNJg2EXL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61xaNJg2EXL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Xmq5CDp6L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Xmq5CDp6L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Xmq5CDp6L.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ndHuDQIqL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ndHuDQIqL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ndHuDQIqL.jpg', 'attachment_type': 'IMAGE'}]",B074YYVXQH,B0C3QB6KZB,AH4FT4E6G4MAWS2VGF26TQYYNYWA,1568988392993,1,False
14,5.0,Super cool! A must have,This drone  is AMAZING - i got one and it is high quality well made drone. Highly recommended 👍🏼,[],B074YYVXQH,B0C3QB6KZB,AGXUCM7FHA7EAJOPWUSVEBB57MHA,1517539531922,0,False
15,5.0,Best bang for your buck,Where do I start with this? Set up was super easy. 10 min out of the box and I was ready to fly. Controls are easy to learn. Cuts through wind pretty well. I was flying with a 10-12mph breeze and it hardly impacted my experience. I do recommend purchasing a second battery since in high speed mode I’m getting 8-10 min out of the battery.,[],B074YYVXQH,B0C3QB6KZB,AHED7AU7SYHZJ4HPADFUQGNAGHHA,1521456666787,0,True
16,4.0,Fun without breaking the bank,"We really like this little drone and have enjoyed it. It will occasionally get an issue when returning home and after pitching wildly hit the ground harder than you'll like, but so far it has survived all encounters with the earth.<br />The camera is very grainy. The pictures are fine for a general view, but not often clear enough for recognizing faces.<br />Having said all that, it's still a fun toy.",[],B074YYVXQH,B0C3QB6KZB,AFB6VCMZ355IU27PTARHGLEQZCNA,1541260808412,0,True
17,1.0,MOTOR PROTECTION?,"On my third flight, the drone would no longer take off, with a message of ""motor protection""? Hard to believe a motor blew after two flights.  The drone sat for several months before I could fly it, so  I don't think it is still under any warranty. I  dismantled it and checked the engine, to find it runs fine with the correct voltage applied, but the drone will still not fly. This was after I had to fix a ""compass calibration"" problem that kept it from flying initially. Hard to give even  one star, would rather give no stars, as this thing has been nothing but a source of irritation for as long as I've had it. Never getting anything with HOLYSTONE written on it again.",[],B074YYVXQH,B0C3QB6KZB,AEGCNUHNMCIEAB6DF4MZV7E6SYHA,1542237292601,34,True
18,1.0,1 flight is all I got,"Now it says remote battery low voltage, even though it has a fresh charge, cant use this $230 piece of plastic.",[],B074YYVXQH,B0C3QB6KZB,AGNNSITMMIQYAAU6DXWNBNW6LD3A,1553301110613,2,True
19,5.0,it is easy to control and fly,"it has lots of nice features at an affordable price. the camera takes great videos, and the gymbal can be controlled. It can stay up in teh air in the same place forever resisting the wind. it is very entertaining drone.",[],B074YYVXQH,B0C3QB6KZB,AGZ7JFZ4JX4VR4OZJYJ5B6IOMXCQ,1560003654554,0,True
20,5.0,Great support can't beat the price and the value of Drone,Great support can't beat the price and the value of Drone,[],B074YYVXQH,B0C3QB6KZB,AGEOLX55J34TSXICLQSVVWK3BSKQ,1525033471902,0,True
21,5.0,Best Drone Ever,Best drone that I've had the pleasure to work with. The setup was easy and took about 20 mins to get it going. Clear instructions and the battery that came with it was also fully charged. It's very stable in flight and easy to control. I think it looks slick.,[],B074YYVXQH,B0C3QB6KZB,AEWEWXD7Z54FJWJF2ADCISJCYF3A,1547869354441,0,True
22,5.0,The drone is a beast,"This drone is awesome. It is very easy to fly for beginners. It is really heavy so it can handle the wind pretty well. I got about 14 minutes out of 1 charge on the battery. The gps return to home feature works great. All in all, a pleasure to fly.",[],B074YYVXQH,B0C3QB6KZB,AG452WTVHJUCQHCVTSYDK4KTTY2Q,1556648790174,0,True
