,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,5.0,play roller coaster,My 4 year old grandson rides this over and over and over.  You'd think this wouldn't be such a draw... but it wins when he is bored with the bounce house or the swing.  I am guessing he'll be too big next year but I have sister that runs a small day care - so I plan to donate it to her.  Win/Win.  It went together quickly and easily.  Took my husband about 10 minutes.  The sections sort of pop in together and stay together even when moved. The &#34;drop&#34; track runs about 6 ft... we have sand so the car slows quickly at the bottom. The track can be taken apart for storage.  I never hesitate to update my reviews should new info seem useful.,[],B00005KBVD,B08JXJHZR8,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1530738352750,7,True
1,5.0,Fun ride for toddlers and young kids,What a great toy! Just long enough for a fun ride for an 18 mo old boy and 4 year old girl.  It snaps together in minutes and the car is safe from tipping. It's better and longer than the ones we've seen in local toy departments. We've set it up outside on the lawn as well as in the family room and the kids have had a great time in both locations.,[],B00005KBVD,B08JXJHZR8,AFGXPZ7PPLPNCU6HAI55LKXSPRCQ,1489279484000,3,True
2,5.0,Hit with the boys!,My great grandsons loved it there 2year 1year old,[],B00005KBVD,B08JXJHZR8,AHMZNZI7ZTAHQI4PKX5TLOAYLODA,1578016281080,0,True
3,5.0,Fun  fun fun,My grandchildren absolutely loved this! It was the absolute hit of Christmas. They are two and three years old and their cousins who are five and six also very much enjoyed it. I just wish that it had a carrying case to store it in. I had to put it back in the box to store it.,[],B00005KBVD,B08JXJHZR8,AFHEJSZYX5A6RDKXIZABUATMLE4Q,1579832637164,0,True
4,5.0,Kids love it.,Made well.,[],B00005KBVD,B08JXJHZR8,AHSLF6CQR2BYRYMU6H6NFPRSPTMQ,1560531540100,0,True
5,5.0,Roller coaster,Bought two Grandkids liked it.,[],B00005KBVD,B08JXJHZR8,AHI64ACZMYMO23KBLWEKORX4P4OA,1578706391109,0,True
6,5.0,"Durable, safe, hours of fun!!","Hours of fun and very lightweight and easy to move about.  Pieces slide in together so no screws/bolts, etc. Durable and  the perfect size for 2 and 3 year olds ... can easily see it being used for the next few years as well.  The ability to buy a second car is the only thing we could see improvement with.  Thanks Step 2.",[],B00005KBVD,B08JXJHZR8,AEATMKYDI6CI5WLR5DMC67X6FCDA,1503438663258,4,True
7,5.0,All ages of children seem to love this!,This is the third one we have purchased for three different grandchildren. The first one is still in working order after 14 years! I noticed at outdoor birthday parties  all of the kids went straight for it no matter what their age! It can be left out year round although it will eventually fade somewhat. I would say it is pretty indestructible and children love it!,[],B00005KBVD,B08JXJHZR8,AGYFTTQXZG6OJPA2KVTUXKSSENUA,1575464533677,0,True
8,5.0,Kids Favorite Toy,Both my three and one year old love riding this coaster.. not too slow for the older child and not too fast for our younger! Best Christmas gift we purchased this year,[],B00005KBVD,B08JXJHZR8,AEAQLXPZOX7FG3CWZUIXG7KT2KYA,1515538127268,0,True
9,5.0,Very durable and still a huge hit a year and a half later,This item is awesome! My husband is 200 pounds and went down it!  Very durable and it would be incredibly hard to break! Love love love it! This is the hit of the party every time a kid comes over!,[],B00005KBVD,B08JXJHZR8,AHR5U4GHXWXGZKKQ2W7SP773E3TA,1465860842000,0,True
10,5.0,Five Stars,Kids love this,[],B00005KBVD,B08JXJHZR8,AEK4IOCJSNNC2NIKAK2AHLRI6TOQ,1423505468000,0,True
11,4.0,Fun backyard toy!,This is super fun for my kids and their friends. I do think it is a little overpriced though. And slightly too small for my 5 year old.,[],B00005KBVD,B08JXJHZR8,AEDNVX2IBIH47RAY43TESLZPJBMQ,1463005457000,0,True
12,5.0,Without a doubt...,Worth every single penny I spent on it!  My girls played on this longer than any other toy they have ever gotten.  My oldest daughter is 7 and she still rides it.,[],B00005KBVD,B08JXJHZR8,AGOIQSUTK6EWKDRTWAIPLXLFH6PQ,1452415360000,0,True
13,5.0,You can't go wrong with this great Toddler toy,You can't go wrong with this great Toddler toy. They play with it everyday. And it has held up again 8 kids always playing with it.,[],B00005KBVD,B08JXJHZR8,AFVRND27BQG4SFYBSEX4CGLH6PLQ,1495259193000,1,True
14,5.0,Best toy we have ever purchased,Words can’t describe how awesome this toy is for kids. My 2 year old grandson loves this so much. We use it indoors because it’s winter but plan on putting this outside in the summer. It breaks down easy and quickly for storage but even my petite 11 year old plays on this. Worth the price! This will be one of your kids favorite toys - trust me!,[],B00005KBVD,B08JXJHZR8,AE5VWWTFKHCTPIYC2JZBLN5RAIMA,1522374521340,1,True
15,5.0,Sturdy and Fun,"My children love this, they are 11, 6, and 2.",[],B00005KBVD,B08JXJHZR8,AHOIQL4V3J42SR7M5ECUWTVKJTPQ,1529949630069,0,True
16,5.0,SUPER easy to assemble and kid (ages 0-5 year) approved!,"My husband and I were immediately pleased with this product because it was by far one of the easiest toys to put together. So simple, in fact, that we typically take it apart between uses. No plastic bags full of parts, no novel booklet of instructions, no pounding our heads against the wall, no cursing in frustration. Already a winner before we even let our daughter play with it!<br /><br />We use this toy outside and it has not only been a hit with our 17 month old daughter, but it has been the most-fought-over toy at all of our summer BBQs this year, for young toddlers through 5 year olds!  We even found younger babies (9 months-ish) happy to push the wheeled coaster around the grass, using it like a walker.<br /><br />I was worried about the lifespan of this product, unsure how long it would be until my daughter outgrew it. I was happy to see the older children still interested in playing with it. Gives me hope that we will get many years of fun with it!",[],B00005KBVD,B08JXJHZR8,AG73WJW3CJUPPVWTGBJ6QBHUJ5XA,1532095651460,1,True
17,5.0,This is AWESOME,"EVERYONE who comes to play at our house LOVES this toy.  It's very durable and has held up in the 2 years we've had it (not sure the weight limit on it but I even tested it out when I first set it up).  We use it indoors and it's great.  It does take up a little bit of space because it is long and then you need some run out room at the end for the car to go, but we have the space so that wasn't an issue for us.",[],B00005KBVD,B08JXJHZR8,AFB2D372J4PETMPL5CLVDZSBZYWA,1349465852000,0,True
18,4.0,Lots of fun for the kiddos,"Lots of fun for the kiddos, but it doesn't last long. I still recommend it as it is well made and fun.",[],B00005KBVD,B08JXJHZR8,AHLO6NYBXEPU3UX3OZCIDIBDBEGA,1460516840000,1,True
19,5.0,Our 2 & 3 year old boys LOVE this roller coaster,Our 2 & 3 year old boys LOVE this roller coaster:). They use it both inside and out.  It's very easy to put together both boys help with ease.  Have fun!,[],B00005KBVD,B08JXJHZR8,AGXLZ25ECVOCSSW6VNKMADSVDX2A,1413044555000,0,True
20,5.0,Perfect,Perfect classic. The kids love it,[],B00005KBVD,B08JXJHZR8,AFD44AZR4DRGXIE24N7LWXSFGFWA,1552444467274,0,True
21,5.0,Lots of fun,This is a much loved toy at our house - our daughter under 2yo is a daredevil and loves riding it.  Our 5yo son enjoys it too.  I wish I had purchased this when my son was little.  A great toy - keeps kids busy when outdoor play isn't an option.  Our youngest eventually learned to reset the car so no adult help is required to operate - YAY!,[],B00005KBVD,B08JXJHZR8,AHULHODZHXISL6NHSVQ6LZTFFLRQ,1499441385197,2,True
22,5.0,Love it,This is a lot of fun. I ride it sometimes.,[],B00005KBVD,B08JXJHZR8,AG5UI5TTO7NX6ZJKYALVOBIOYNYA,1441957183000,0,True
23,5.0,Too much fun. Wish it were longer,Too much fun.  Wish it were longer.,[],B00005KBVD,B08JXJHZR8,AFDF5E72DA47DRUEF6GCKTBUJA2A,1494002654000,0,True
24,4.0,Nephew loved it.,I bought this for my nephews 3rd birthday party and he loved it along with all the other kids. It was a great hit!,[],B00005KBVD,B08JXJHZR8,AFACWEVRZ7X66JJUOSAVCO52XFPQ,1374589377000,0,True
