,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,2.0,Package arrived but box was already opened. Won't know ...,"Package arrived but box was already opened. Won't know if it works until after Christmas as this is a present but with the box being opened already, makes me nervous and frustrated.",[],B00MNG37C2,B00MNG37C2,AHOHPYOMRJU5LYKHGOOTMFEN5XCA,1481851575000,1,True
1,5.0,It shipped very quickly,My friends son loved his toy,[],B00MNG37C2,B00MNG37C2,AEE3TDZND3EFQLDZE3NWYTHC44IA,1547731966812,0,True
2,5.0,This one I bought to replace the other and so far the kids love it!,I purchased a drone from QVC and it broke very quickly without any user errors. This one I bought to replace the other and so far the kids love it!,[],B00MNG37C2,B00MNG37C2,AHLED4A2IRG3D6YAPCBWE6KX66HA,1460566555000,1,True
3,3.0,It's okay,It's fun but takes some practice to get the hang of it. I recommend practicing in a big field because you are going to crash a lot and the grass is way better to land on than concrete or a roof!<br /><br />The pieces snap together pretty easily and the remote requires 4 AA batteries.<br /><br />I wish I read more into this before purchasing because you have to load a USB into the computer to see the pictures/video which I didnt like. I wish you could see as you fly.,[],B00MNG37C2,B00MNG37C2,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,1505588485093,0,True
4,5.0,Five Stars,great and wonderful service,[],B00MNG37C2,B00MNG37C2,AHT72TZIAZFWJFV4XPMQIQGS72HA,1449298605000,0,False
5,4.0,Nice for the price.,"I love it so far. Pretty easy to assemble and use. Is a great quadcopter for starters. However, the camera quality sucks. They described it as HD but the video and pictures look like the ones I took with my second phone 6 years ago.",[],B00MNG37C2,B00MNG37C2,AG5MXSEUOSFANLXKXUGQT5DH7AXA,1459438151000,0,True
6,5.0,Five Stars,"cant beat it for the price, just buy extra batteries",[],B00MNG37C2,B00MNG37C2,AGI77KI3BWMNURPXT4SORCNAO7AA,1447959988000,0,True
7,2.0,"Flying is great, but the camera is why it was purchased ...","Don't buy, save your money. Camera connection came loose after first flight. Tried contacting the company & have yet to hear any answer back a week later. Flying is great, but the camera is why it was purchased so now it's just a toy. Don't buy anything from syma @ all.",[],B00MNG37C2,B00MNG37C2,AEUEFZW774M2BHUT3HM4SQ7L52ZQ,1434489204000,0,False
8,5.0,SO MUCH FUN,Bought one for my daughter and one for my husband for Christmas. They LOVE it. It is great for the experienced and for the beginning pilot. The battery life is reasonable and the graphics on the camera are great!. With a tap of a button on the remote you can control the camera and video taking feature. We love seeing the videos they take. Extremely durable. Color coded LED lights make this fun to fly at night. Its a scaled down version of the DJI. Six axis gyros make this very stable. After posting some pics and videos on Facebook all my husbands friends are looking to get one for themselves. You can't beat the price on such a great toy. Only complaint... We wish we had another battery so they don't have to wait (75 minutes) for the fun to continue.,[],B00MNG37C2,B00MNG37C2,AFYVRGGQCMXI7O5B4FPQ2KUOFCPQ,1451409173000,0,True
9,2.0,Two Stars,"very light, hard to control, if even a slight breeze cant control",[],B00MNG37C2,B00MNG37C2,AFNCF6TT5I2S2HLNG6C6JUI7CC7A,1509456588214,0,True
10,5.0,Five Stars,"Awesome, my son loved it",[],B00MNG37C2,B00MNG37C2,AF3E5XBYT4CUNOH3CB2SY7N4Q5CA,1520460579836,0,True
11,1.0,Junk Quadcopter,This was something that someone had brought and obviously returned broken. Since I travel often I did not have time to open or play with this. Be ware of this seller.,[],B00MNG37C2,B00MNG37C2,AGERPHFURMUOH44B57CH45HGZJNQ,1503862327582,1,True
12,5.0,Five Stars,good,[],B00MNG37C2,B00MNG37C2,AE2LWJOIY3KJLYLW36GJ2IV6GNXQ,1484748696000,0,True
