,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,3.0,Not in retail box! Delivered in a brown cardboard box.,Does not come in manufacturers box. Instead the pieces are in a brown cardboard box.<br />Was embarrassed when I gave it as a gift. Although it looked new inside it looked like it had been reboxed.,[],B01C5A2WJO,B07XRFH11M,AHIPBTOT2RCSOLJVMU454CT4KUBQ,1518815224477,0,True
1,5.0,2 yr old loves.,My 2 year old grand loves this.,[],B01C5A2WJO,B07XRFH11M,AFWVKPFTABKQGJPIN3YMYP7MWJPA,1554570170331,0,True
2,5.0,Great 1st Basketball Goal,Wonderful first basketball goal. Easy to assemble and light if you don't want to put sand in the bottom as suggested.,[],B01C5A2WJO,B07XRFH11M,AEPYXMMWADD5NUKMOCIJ5UIAWZ5Q,1482675914000,0,True
3,5.0,Great purchase for a toddler,Yes yes yes!!!!! My toddler loves this hoop!!!! It can go inside or outside - great for a 18 month old,[],B01C5A2WJO,B07XRFH11M,AGBHJ3XVYSUDR37EC6J53VEL5JSA,1562439305314,0,True
4,5.0,My husband ordered this for our son and they love it. He’s been playing with it since he ...,My husband ordered this for our son and they love it. He’s been playing with it since he could walk and loves making baskets. It’s adorable.,[],B01C5A2WJO,B07XRFH11M,AE3VVAJIDX5ISYEECQDMNOPLT5XA,1523157971240,0,True
5,5.0,Great toy,Easy for little children to use.,[],B01C5A2WJO,B07XRFH11M,AEYL4ZM2I6F6JZAMXCI6WINOA4WA,1620737708591,0,True
6,5.0,16 month old loves it!!!,He is already making baskets on his tip toes. Pretty soon he'll be slam dunking. My husband and I might be having more fun making shots than our 16 month old lol,[],B01C5A2WJO,B07XRFH11M,AHUT77G2ZVMQ7LAGFL6BX2KURPHQ,1541735466005,0,True
7,5.0,Came with 3 balls,Toddler enjoys it. Adjustable height will give us a while before he outgrows it,[],B01C5A2WJO,B07XRFH11M,AE2PVQ2YRGMFVWAOSFZM2FU4PALQ,1559608745777,0,True
8,4.0,Four Stars,Well built. Will update if anything changes.,[],B01C5A2WJO,B07XRFH11M,AHPUF6NHX2WEE5INDELHIRPXR52Q,1492790286000,0,True
9,5.0,Cool,Cool,[],B01C5A2WJO,B07XRFH11M,AFX7MGX4NSXIIWAAPO66W64LFCAA,1529323126214,0,True
10,5.0,Fun for hours,Bought it for my toddler he will spend hours shooting hoops. Being kept inside cant comment on how well it holds up outside.,[],B01C5A2WJO,B07XRFH11M,AF55ZWXV2INZD4QBMUKN7PN25GFQ,1625877199294,0,True
11,5.0,Fun inside or out!,Great for my grandson and will grow with him ( for a while) Great indoors or out! Well made! Such fun!,[],B01C5A2WJO,B07XRFH11M,AGIYJ2FRWJMVVADPREWWVMADWCMQ,1620519480105,0,True
12,5.0,Easy to assemble,Great product,[],B01C5A2WJO,B07XRFH11M,AE6DN75ZZLLC6N542INFSEPLLZ2A,1523047342288,0,True
13,5.0,"Easy to set up, perfect for toddlers",Bought this for my grandson who is almost 2. He loves it! We used water in the base to make it sturdy. You could also use sand. Putting it together was a breeze. Just snap all the pieces together and your good to go.,[],B01C5A2WJO,B07XRFH11M,AFVUT5YC7MHR36Q6HWLAOZX4FG2Q,1629050063760,0,True
14,5.0,Good value,"My kids (and husband) love this basketball net. We currently have it in the playroom because it's winter, but will eventually move it outside when the weather is warm. It's obviously holding up great inside!",[],B01C5A2WJO,B07XRFH11M,AGHHIR35QUCADKKFELX546YLTPUQ,1640033378856,0,True
15,5.0,He will get lots of good use out of,son loves this and he's only 13 months. He will get lots of good use out of this,[],B01C5A2WJO,B07XRFH11M,AFNVU3DNOUMKB75VHUNOLIQNYKJQ,1517561444066,0,True
16,4.0,Not a sturdy as I like,"The plastic of this hoop is more bendable than I prefer. It works well, but the plastic frame is already showing strain.",[],B01C5A2WJO,B07XRFH11M,AGCVFGKFDXSQVJSWCBTS56P7XWBA,1672358713186,0,True
17,5.0,Great product,This is awesome! My son loves this and is playing with it everyday!!,[],B01C5A2WJO,B07XRFH11M,AEJSLDOSQGKHZDXYR5W7B4ORBBIQ,1468854734000,0,True
18,5.0,Great gift,"I got this for my son and he loves it. He is 3 years old and it is the perfect size. I also love that it comes with three balls, not just one.",[],B01C5A2WJO,B07XRFH11M,AFMY3NMXTQ3H7BAWWAA5YRP6L56Q,1577506601561,0,True
19,5.0,Five Stars,Big hit with my two-year old grandson.  He plays with it everyday.,[],B01C5A2WJO,B07XRFH11M,AEMB3I6WJNAXVVIFQOVTGFTSNXQA,1497290584093,0,True
20,5.0,Lovely gift for a 2 year old with lots of energy,I loved it for my 2 year old. He actually gets and enjoys the game.,[],B01C5A2WJO,B07XRFH11M,AGAHLBIKL5PPXUIN2MWEXWZDF6OQ,1567833129715,0,True
21,5.0,Great inside & outside,All the kids just love it !!!,[],B01C5A2WJO,B07XRFH11M,AF3EUN2CY4XWHHQDW4527DK7RCYA,1580735644950,0,True
22,3.0,Missing piece,It is missing the piece that allows for it to adjust heights.,[],B01C5A2WJO,B07XRFH11M,AHYBXK7Z2LQ36AT5RGKXKNLAR62A,1587509725103,1,True
23,5.0,Good deal!,"Very high quality hoop and 3 balls, 2 year old can't leave it alone even to open his other presents!  Lot of fun. Adjustable height for later. Very pleased parents and grands.",[],B01C5A2WJO,B07XRFH11M,AGU6T6LMY2HRPXR3KVDXKW4BHHNQ,1507968924946,0,False
24,5.0,👍🏻,👍🏻,[],B01C5A2WJO,B07XRFH11M,AGWPIBWWBRTHZHHHEA7YA4FXWILA,1547847443564,0,True
25,5.0,Great value!,"My grandson loves this, love watching him shoot baskets!  This was a great value!  It being adjustable is a huge plus, already raised for him once, they grow up and need that challenge quickly, thankful it adjusts!",[],B01C5A2WJO,B07XRFH11M,AHKKYL44TJG4C3PI4ZH2VKARBCWQ,1580019788925,0,True
26,5.0,Toddler Approved Basketball Set,"My son loves this basketball hoop and plays with it often.  Ours came with 3 balls, since I bought the one that said it had 3 balls.  The hoop is height adjustable, so I have been adjusting it to his height since we've gotten it last year.  I filled the base with sand and sealed the plug in place with some silicone.  It is a little heavy for me to move around, but is worth it because it has not fallen over yet.  I sealed the plug with silicone because I did not want my son figuring out how to open it and pour the sand out.",[],B01C5A2WJO,B07XRFH11M,AG3IKRZQLJKKTTUCRSNS2GIXKOSA,1497378868405,120,True
