,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
0,5.0,Fun game,Quick fun game easy to play for most ages probably 10+<br />Easy to learn,[],B00NQQTZCO,B00NQQTZCO,AF4XAUOI5XPGWHCPOTORKBIJSRDA,1565765502506,0,True
1,5.0,Five Stars,This game is so much fun.<br />It is a must buy.  Love it,[],B00NQQTZCO,B00NQQTZCO,AGHL76CO24LBO7VPVFCWQCECAOJQ,1531249584654,0,True
2,5.0,Great game,Fun to plqy .,[],B00NQQTZCO,B00NQQTZCO,AH3QZAPNPJNFICMAGBMRT7MWP6OQ,1546737932161,0,True
3,3.0,They still haven't figured it out,Bought this as a gift.  The recipients haven't figured it out after a couple of times.  One of them collects Monopoly games and they were excited to get it.  I may have to try and see if I can figure it out and show them.  So either the instructions aren't clear or the game doesn't work for 2 people.,[],B00NQQTZCO,B00NQQTZCO,AEDZBEEPJHOH4AFYLCYUICHJDVZA,1556688070851,0,True
4,4.0,"Fun, quick game of Monopoly",Our family likes this game.  It is easy to learn and goes quickly.  No 3 hour games of Monopoly!  The only criticism is that the rules don't cover all the possible combinations the cards can be used.  We have had to add a few rules.,[],B00NQQTZCO,B00NQQTZCO,AELAJDQKFQ5RUT5IFXQJW6I2HSXA,1607344992216,0,True
5,5.0,"Awesome, fast, educational game","My family and I love this game. It’s fast, easy to use, and it’s perfect for teaching kids how to quickly adapt to changes and strategize",[],B00NQQTZCO,B00NQQTZCO,AFOA3IZH4WEW7COARCRFM43X7NUQ,1551401310656,0,True
6,5.0,Five Stars,This game is so fun and easy learn. It is especially enjoyable with three or more players,[],B00NQQTZCO,B00NQQTZCO,AFWKFBLHEAGCWTOHEXML2V3YVYEA,1531845478402,0,True
7,5.0,Very fun,One of my favorite games. If you’re into strategy and being competitive this is worth it.,[],B00NQQTZCO,B00NQQTZCO,AEBTANH2QTQ2IDJBSAH47WAOBSWQ,1550090575051,0,True
8,5.0,Five Stars,Great game. Very fun for date night.,[],B00NQQTZCO,B00NQQTZCO,AHM4XWGXY3JBP5KI625M5XAZDJ2Q,1503337247749,0,True
9,5.0,As Advertised,Fun version of the original game.,[],B00NQQTZCO,B00NQQTZCO,AH3QUF6G25H5VUTS3W77FHRYNZ5A,1615658930695,0,True
10,5.0,Great game,Great family game,[],B00NQQTZCO,B00NQQTZCO,AE2IZOJL5Z7VS2TF7WJ4KNT6NW6A,1510098517181,0,True
11,5.0,Five Stars,"Very fun game, about 15 minutes to get through. Can play for hours!",[],B00NQQTZCO,B00NQQTZCO,AGVWNZXWKIYZTZ6BDPO75Q36HW2Q,1447372390000,0,True
12,5.0,great family game,"My kids love this game! I like it too, as it is easy to play, doesn't take long, allows for everyone to join in. Sometimes the various rules can be confusing for the younger kids to remember, but most of us know the rules by now and we only have occasional disagreements as to what is allowed. Adults and kids play and amazingly the adults don't automatically win. My kids can win just as easily.<br />basically the winner is the first person who collects three complete sets of properties. Players steal, trade and win properties from other players. Really a fun game we all enjoy.",[],B00NQQTZCO,B00NQQTZCO,AGF6U6VFUMGDSOT62RV4GIQJJCPA,1481916107000,1,True
13,5.0,amazing product with a great price,"I was very happy, great game, came early and was a great price",[],B00NQQTZCO,B00NQQTZCO,AGMMQYO7XJJDWLC4ZCS7ITNRD4IQ,1428279521000,0,True
14,5.0,Won’t regret it!,This is one of the more popular go to family games.  Very competitive married adult couples.  There is actually quite a bit of strategy to this game which makes it fun and challenging!  Love it!,[],B00NQQTZCO,B00NQQTZCO,AGW7L6TEDPSOTXTNDMDV6MKG4TWA,1578547482140,0,True
15,3.0,Have not played it yet,Love monopoly and figured it was a nice way to play while travelling. Def coming with me on my upcoming trip to Cuba.,[],B00NQQTZCO,B00NQQTZCO,AHGMU337NO6BEYKMXJPC2G4X4VRA,1504353949612,0,True
16,5.0,Love this game!,"Super fun game, easy to learn and play with any number of players.",[],B00NQQTZCO,B00NQQTZCO,AGZ5ETRIJPWUSOLUCMV6EVTPDTLA,1586189189841,0,True
17,5.0,Super Fun Amazing Card Game,Super Fun Amazing Card Game! Just long enough of a game! It doesnt take forever like the monopoly board game!,[],B00NQQTZCO,B00NQQTZCO,AHU62W25M7OYXQUZXNA3AIK4U7WQ,1427167859000,0,True
18,5.0,Monopoly Deal Card Game,Fun For the Whole Family.<br />Fun to Play with lot's of Laughs.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/11TZVFBPfhL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/11TZVFBPfhL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/11TZVFBPfhL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B00NQQTZCO,B00NQQTZCO,AEEDDLKMCYT5D3GTCFPHNA4656DA,1611200703624,0,True
19,5.0,Better than classic Monopoly (sorry die-hards)!,"If you’re looking for all the strategy and rage-inducing fun of Monopoly in a much smaller package, look no further. Monopoly Deal has quickly become one of my group’s most favorite games! It’s fast to play, easy to carry around, and plenty competitive without all the setup required by most full-size board games. A perfect addition to any gift!",[],B00NQQTZCO,B00NQQTZCO,AEUXYWG6YMDIPOSVZWJBMEW7J5VQ,1576460518606,0,True
